TIME,OCCUPANCY,RATE
01/06/2018 23:45,56,0.137254902
01/06/2018 23:50,57,0.139705882
01/06/2018 23:55,57,0.139705882
02/06/2018 00:00,55,0.134803922
02/06/2018 00:05,55,0.134803922
02/06/2018 00:10,54,0.132352941
02/06/2018 00:15,54,0.132352941
02/06/2018 00:20,53,0.129901961
02/06/2018 00:25,53,0.129901961
02/06/2018 00:30,53,0.129901961
02/06/2018 00:35,52,0.12745098
02/06/2018 00:40,52,0.12745098
02/06/2018 00:45,52,0.12745098
02/06/2018 00:50,52,0.12745098
02/06/2018 00:55,52,0.12745098
02/06/2018 01:00,52,0.12745098
02/06/2018 01:05,51,0.125
02/06/2018 01:10,51,0.125
02/06/2018 01:15,51,0.125
02/06/2018 01:20,51,0.125
02/06/2018 01:25,52,0.12745098
02/06/2018 01:30,52,0.12745098
02/06/2018 01:35,52,0.12745098
02/06/2018 01:40,53,0.129901961
02/06/2018 01:45,53,0.129901961
02/06/2018 01:50,54,0.132352941
02/06/2018 01:55,54,0.132352941
02/06/2018 02:00,54,0.132352941
02/06/2018 02:05,53,0.129901961
02/06/2018 02:10,53,0.129901961
02/06/2018 02:15,53,0.129901961
02/06/2018 02:20,53,0.129901961
02/06/2018 02:25,53,0.129901961
02/06/2018 02:30,53,0.129901961
02/06/2018 02:35,53,0.129901961
02/06/2018 02:40,53,0.129901961
02/06/2018 02:45,52,0.12745098
02/06/2018 02:50,52,0.12745098
02/06/2018 02:55,51,0.125
02/06/2018 03:00,51,0.125
02/06/2018 03:05,51,0.125
02/06/2018 03:10,52,0.12745098
02/06/2018 03:15,52,0.12745098
02/06/2018 03:20,52,0.12745098
02/06/2018 03:25,52,0.12745098
02/06/2018 03:30,52,0.12745098
02/06/2018 03:35,52,0.12745098
02/06/2018 03:40,52,0.12745098
02/06/2018 03:45,52,0.12745098
02/06/2018 03:50,51,0.125
02/06/2018 03:55,52,0.12745098
02/06/2018 04:00,52,0.12745098
02/06/2018 04:05,52,0.12745098
02/06/2018 04:10,52,0.12745098
02/06/2018 04:15,52,0.12745098
02/06/2018 04:20,52,0.12745098
02/06/2018 04:25,52,0.12745098
02/06/2018 04:30,52,0.12745098
02/06/2018 04:35,52,0.12745098
02/06/2018 04:40,53,0.129901961
02/06/2018 04:45,53,0.129901961
02/06/2018 04:50,53,0.129901961
02/06/2018 04:55,53,0.129901961
02/06/2018 05:00,52,0.12745098
02/06/2018 05:05,52,0.12745098
02/06/2018 05:10,52,0.12745098
02/06/2018 05:15,51,0.125
02/06/2018 05:20,52,0.12745098
02/06/2018 05:25,52,0.12745098
02/06/2018 05:30,52,0.12745098
02/06/2018 05:35,52,0.12745098
02/06/2018 05:40,52,0.12745098
02/06/2018 05:45,52,0.12745098
02/06/2018 05:50,52,0.12745098
02/06/2018 05:55,51,0.125
02/06/2018 06:00,51,0.125
02/06/2018 06:05,51,0.125
02/06/2018 06:10,51,0.125
02/06/2018 06:15,53,0.129901961
02/06/2018 06:20,53,0.129901961
02/06/2018 06:25,53,0.129901961
02/06/2018 06:30,52,0.12745098
02/06/2018 06:35,52,0.12745098
02/06/2018 06:40,51,0.125
02/06/2018 06:45,52,0.12745098
02/06/2018 06:50,53,0.129901961
02/06/2018 06:55,55,0.134803922
02/06/2018 07:00,58,0.142156863
02/06/2018 07:05,58,0.142156863
02/06/2018 07:10,58,0.142156863
02/06/2018 07:15,60,0.147058824
02/06/2018 07:20,61,0.149509804
02/06/2018 07:25,61,0.149509804
02/06/2018 07:30,64,0.156862745
02/06/2018 07:35,64,0.156862745
02/06/2018 07:40,66,0.161764706
02/06/2018 07:45,68,0.166666667
02/06/2018 07:50,72,0.176470588
02/06/2018 07:55,72,0.176470588
02/06/2018 08:00,74,0.181372549
02/06/2018 08:05,79,0.193627451
02/06/2018 08:10,82,0.200980392
02/06/2018 08:15,88,0.215686275
02/06/2018 08:20,96,0.235294118
02/06/2018 08:25,108,0.264705882
02/06/2018 08:30,112,0.274509804
02/06/2018 08:35,116,0.284313725
02/06/2018 08:40,116,0.284313725
02/06/2018 08:45,116,0.284313725
02/06/2018 08:50,121,0.296568627
02/06/2018 08:55,124,0.303921569
02/06/2018 09:00,126,0.308823529
02/06/2018 09:05,126,0.308823529
02/06/2018 09:10,130,0.318627451
02/06/2018 09:15,132,0.323529412
02/06/2018 09:20,134,0.328431373
02/06/2018 09:25,134,0.328431373
02/06/2018 09:30,133,0.325980392
02/06/2018 09:35,139,0.340686275
02/06/2018 09:40,136,0.333333333
02/06/2018 09:45,138,0.338235294
02/06/2018 09:50,141,0.345588235
02/06/2018 09:55,146,0.357843137
02/06/2018 10:00,152,0.37254902
02/06/2018 10:05,152,0.37254902
02/06/2018 10:10,152,0.37254902
02/06/2018 10:15,150,0.367647059
02/06/2018 10:20,151,0.370098039
02/06/2018 10:25,156,0.382352941
02/06/2018 10:30,159,0.389705882
02/06/2018 10:35,156,0.382352941
02/06/2018 10:40,159,0.389705882
02/06/2018 10:45,156,0.382352941
02/06/2018 10:50,155,0.379901961
02/06/2018 10:55,155,0.379901961
02/06/2018 11:00,152,0.37254902
02/06/2018 11:05,148,0.362745098
02/06/2018 11:10,152,0.37254902
02/06/2018 11:15,153,0.375
02/06/2018 11:20,149,0.365196078
02/06/2018 11:25,147,0.360294118
02/06/2018 11:30,146,0.357843137
02/06/2018 11:35,146,0.357843137
02/06/2018 11:40,146,0.357843137
02/06/2018 11:45,145,0.355392157
02/06/2018 11:50,138,0.338235294
02/06/2018 11:55,132,0.323529412
02/06/2018 12:00,134,0.328431373
02/06/2018 12:05,133,0.325980392
02/06/2018 12:10,127,0.31127451
02/06/2018 12:15,122,0.299019608
02/06/2018 12:20,114,0.279411765
02/06/2018 12:25,114,0.279411765
02/06/2018 12:30,117,0.286764706
02/06/2018 12:35,118,0.289215686
02/06/2018 12:40,116,0.284313725
02/06/2018 12:45,112,0.274509804
02/06/2018 12:50,106,0.259803922
02/06/2018 12:55,104,0.254901961
02/06/2018 13:00,103,0.25245098
02/06/2018 13:05,100,0.245098039
02/06/2018 13:10,100,0.245098039
02/06/2018 13:15,98,0.240196078
02/06/2018 13:20,99,0.242647059
02/06/2018 13:25,98,0.240196078
02/06/2018 13:30,96,0.235294118
02/06/2018 13:35,95,0.232843137
02/06/2018 13:40,93,0.227941176
02/06/2018 13:45,91,0.223039216
02/06/2018 13:50,91,0.223039216
02/06/2018 13:55,91,0.223039216
02/06/2018 14:00,92,0.225490196
02/06/2018 14:05,96,0.235294118
02/06/2018 14:10,94,0.230392157
02/06/2018 14:15,94,0.230392157
02/06/2018 14:20,92,0.225490196
02/06/2018 14:25,93,0.227941176
02/06/2018 14:30,92,0.225490196
02/06/2018 14:35,90,0.220588235
02/06/2018 14:40,90,0.220588235
02/06/2018 14:45,89,0.218137255
02/06/2018 14:50,89,0.218137255
02/06/2018 14:55,91,0.223039216
02/06/2018 15:00,91,0.223039216
02/06/2018 15:05,90,0.220588235
02/06/2018 15:10,90,0.220588235
02/06/2018 15:15,90,0.220588235
02/06/2018 15:20,88,0.215686275
02/06/2018 15:25,88,0.215686275
02/06/2018 15:30,90,0.220588235
02/06/2018 15:35,87,0.213235294
02/06/2018 15:40,86,0.210784314
02/06/2018 15:45,88,0.215686275
02/06/2018 15:50,89,0.218137255
02/06/2018 15:55,92,0.225490196
02/06/2018 16:00,93,0.227941176
02/06/2018 16:05,89,0.218137255
02/06/2018 16:10,89,0.218137255
02/06/2018 16:15,88,0.215686275
02/06/2018 16:20,88,0.215686275
02/06/2018 16:25,89,0.218137255
02/06/2018 16:30,88,0.215686275
02/06/2018 16:35,85,0.208333333
02/06/2018 16:40,81,0.198529412
02/06/2018 16:45,81,0.198529412
02/06/2018 16:50,85,0.208333333
02/06/2018 16:55,85,0.208333333
02/06/2018 17:00,86,0.210784314
02/06/2018 17:05,87,0.213235294
02/06/2018 17:10,87,0.213235294
02/06/2018 17:15,85,0.208333333
02/06/2018 17:20,82,0.200980392
02/06/2018 17:25,85,0.208333333
02/06/2018 17:30,85,0.208333333
02/06/2018 17:35,83,0.203431373
02/06/2018 17:40,83,0.203431373
02/06/2018 17:45,81,0.198529412
02/06/2018 17:50,81,0.198529412
02/06/2018 17:55,81,0.198529412
02/06/2018 18:00,77,0.18872549
02/06/2018 18:05,77,0.18872549
02/06/2018 18:10,76,0.18627451
02/06/2018 18:15,71,0.174019608
02/06/2018 18:20,72,0.176470588
02/06/2018 18:25,72,0.176470588
02/06/2018 18:30,75,0.183823529
02/06/2018 18:35,74,0.181372549
02/06/2018 18:40,75,0.183823529
02/06/2018 18:45,74,0.181372549
02/06/2018 18:50,75,0.183823529
02/06/2018 18:55,73,0.178921569
02/06/2018 19:00,74,0.181372549
02/06/2018 19:05,73,0.178921569
02/06/2018 19:10,73,0.178921569
02/06/2018 19:15,77,0.18872549
02/06/2018 19:20,79,0.193627451
02/06/2018 19:25,78,0.191176471
02/06/2018 19:30,79,0.193627451
02/06/2018 19:35,83,0.203431373
02/06/2018 19:40,84,0.205882353
02/06/2018 19:45,82,0.200980392
02/06/2018 19:50,83,0.203431373
02/06/2018 19:55,83,0.203431373
02/06/2018 20:00,80,0.196078431
02/06/2018 20:05,81,0.198529412
02/06/2018 20:10,79,0.193627451
02/06/2018 20:15,80,0.196078431
02/06/2018 20:20,79,0.193627451
02/06/2018 20:25,79,0.193627451
02/06/2018 20:30,81,0.198529412
02/06/2018 20:35,81,0.198529412
02/06/2018 20:40,81,0.198529412
02/06/2018 20:45,80,0.196078431
02/06/2018 20:50,80,0.196078431
02/06/2018 20:55,77,0.18872549
02/06/2018 21:00,78,0.191176471
02/06/2018 21:05,75,0.183823529
02/06/2018 21:10,74,0.181372549
02/06/2018 21:15,73,0.178921569
02/06/2018 21:20,73,0.178921569
02/06/2018 21:25,73,0.178921569
02/06/2018 21:30,73,0.178921569
02/06/2018 21:35,73,0.178921569
02/06/2018 21:40,71,0.174019608
02/06/2018 21:45,71,0.174019608
02/06/2018 21:50,68,0.166666667
02/06/2018 21:55,66,0.161764706
02/06/2018 22:00,63,0.154411765
02/06/2018 22:05,64,0.156862745
02/06/2018 22:10,64,0.156862745
02/06/2018 22:15,62,0.151960784
02/06/2018 22:20,64,0.156862745
02/06/2018 22:25,64,0.156862745
02/06/2018 22:30,63,0.154411765
02/06/2018 22:35,63,0.154411765
02/06/2018 22:40,61,0.149509804
02/06/2018 22:45,61,0.149509804
02/06/2018 22:50,60,0.147058824
02/06/2018 22:55,60,0.147058824
02/06/2018 23:00,61,0.149509804
02/06/2018 23:05,65,0.159313725
02/06/2018 23:10,65,0.159313725
02/06/2018 23:15,64,0.156862745
02/06/2018 23:20,61,0.149509804
02/06/2018 23:25,63,0.154411765
02/06/2018 23:30,64,0.156862745
02/06/2018 23:35,62,0.151960784
02/06/2018 23:40,62,0.151960784
02/06/2018 23:45,61,0.149509804
02/06/2018 23:50,60,0.147058824
02/06/2018 23:55,60,0.147058824
03/06/2018 00:00,59,0.144607843
03/06/2018 00:05,59,0.144607843
03/06/2018 00:10,62,0.151960784
03/06/2018 00:15,61,0.149509804
03/06/2018 00:20,60,0.147058824
03/06/2018 00:25,60,0.147058824
03/06/2018 00:30,60,0.147058824
03/06/2018 00:35,60,0.147058824
03/06/2018 00:40,60,0.147058824
03/06/2018 00:45,59,0.144607843
03/06/2018 00:50,61,0.149509804
03/06/2018 00:55,59,0.144607843
03/06/2018 01:00,59,0.144607843
03/06/2018 01:05,59,0.144607843
03/06/2018 01:10,59,0.144607843
03/06/2018 01:15,59,0.144607843
03/06/2018 01:20,59,0.144607843
03/06/2018 01:25,58,0.142156863
03/06/2018 01:30,58,0.142156863
03/06/2018 01:35,58,0.142156863
03/06/2018 01:40,58,0.142156863
03/06/2018 01:45,58,0.142156863
03/06/2018 01:50,59,0.144607843
03/06/2018 01:55,59,0.144607843
03/06/2018 02:00,58,0.142156863
03/06/2018 02:05,58,0.142156863
03/06/2018 02:10,57,0.139705882
03/06/2018 02:15,57,0.139705882
03/06/2018 02:20,57,0.139705882
03/06/2018 02:25,57,0.139705882
03/06/2018 02:30,58,0.142156863
03/06/2018 02:35,57,0.139705882
03/06/2018 02:40,57,0.139705882
03/06/2018 02:45,58,0.142156863
03/06/2018 02:50,58,0.142156863
03/06/2018 02:55,58,0.142156863
03/06/2018 03:00,57,0.139705882
03/06/2018 03:05,56,0.137254902
03/06/2018 03:10,56,0.137254902
03/06/2018 03:15,56,0.137254902
03/06/2018 03:20,55,0.134803922
03/06/2018 03:25,55,0.134803922
03/06/2018 03:30,56,0.137254902
03/06/2018 03:35,55,0.134803922
03/06/2018 03:40,56,0.137254902
03/06/2018 03:45,57,0.139705882
03/06/2018 03:50,58,0.142156863
03/06/2018 03:55,58,0.142156863
03/06/2018 04:00,59,0.144607843
03/06/2018 04:05,58,0.142156863
03/06/2018 04:10,58,0.142156863
03/06/2018 04:15,57,0.139705882
03/06/2018 04:20,56,0.137254902
03/06/2018 04:25,57,0.139705882
03/06/2018 04:30,57,0.139705882
03/06/2018 04:35,56,0.137254902
03/06/2018 04:40,56,0.137254902
03/06/2018 04:45,56,0.137254902
03/06/2018 04:50,57,0.139705882
03/06/2018 04:55,57,0.139705882
03/06/2018 05:00,59,0.144607843
03/06/2018 05:05,59,0.144607843
03/06/2018 05:10,59,0.144607843
03/06/2018 05:15,59,0.144607843
03/06/2018 05:20,58,0.142156863
03/06/2018 05:25,58,0.142156863
03/06/2018 05:30,58,0.142156863
03/06/2018 05:35,58,0.142156863
03/06/2018 05:40,58,0.142156863
03/06/2018 05:45,58,0.142156863
03/06/2018 05:50,58,0.142156863
03/06/2018 05:55,58,0.142156863
03/06/2018 06:00,58,0.142156863
03/06/2018 06:05,58,0.142156863
03/06/2018 06:10,58,0.142156863
03/06/2018 06:15,58,0.142156863
03/06/2018 06:20,58,0.142156863
03/06/2018 06:25,58,0.142156863
03/06/2018 06:30,59,0.144607843
03/06/2018 06:35,58,0.142156863
03/06/2018 06:40,59,0.144607843
03/06/2018 06:45,59,0.144607843
03/06/2018 06:50,59,0.144607843
03/06/2018 06:55,59,0.144607843
03/06/2018 07:00,59,0.144607843
03/06/2018 07:05,60,0.147058824
03/06/2018 07:10,60,0.147058824
03/06/2018 07:15,61,0.149509804
03/06/2018 07:20,62,0.151960784
03/06/2018 07:25,62,0.151960784
03/06/2018 07:30,62,0.151960784
03/06/2018 07:35,63,0.154411765
03/06/2018 07:40,64,0.156862745
03/06/2018 07:45,64,0.156862745
03/06/2018 07:50,67,0.164215686
03/06/2018 07:55,67,0.164215686
03/06/2018 08:00,68,0.166666667
03/06/2018 08:05,69,0.169117647
03/06/2018 08:10,67,0.164215686
03/06/2018 08:15,68,0.166666667
